Epoch: 0, Train Loss: 0.08061052754817835, Valid Loss: 0.07813619928614547
Epoch: 1, Train Loss: 0.0787957098656375, Valid Loss: 0.07813619928614547
Epoch: 2, Train Loss: 0.07150001191593958, Valid Loss: 0.07813619928614547
Epoch: 3, Train Loss: 0.05568882425359373, Valid Loss: 0.04984771669790757
Epoch: 4, Train Loss: 0.047892944421175726, Valid Loss: 0.04984771669790757
Epoch: 5, Train Loss: 0.045519592134216594, Valid Loss: 0.04984771669790757
Epoch: 6, Train Loss: 0.04443075902646161, Valid Loss: 0.04226844830733233
Epoch: 7, Train Loss: 0.04356855524529079, Valid Loss: 0.04226844830733233
Epoch: 8, Train Loss: 0.04273180477048245, Valid Loss: 0.04226844830733233
Epoch: 9, Train Loss: 0.04219371110020828, Valid Loss: 0.03962172045509236
Epoch: 10, Train Loss: 0.0411762399091559, Valid Loss: 0.03962172045509236
Epoch: 11, Train Loss: 0.04054929668177493, Valid Loss: 0.03962172045509236
Epoch: 12, Train Loss: 0.03995422215143132, Valid Loss: 0.03785771413661522
Epoch: 13, Train Loss: 0.039037657641865606, Valid Loss: 0.03785771413661522
Epoch: 14, Train Loss: 0.03831165973997547, Valid Loss: 0.03785771413661522
Epoch: 15, Train Loss: 0.037443689210278415, Valid Loss: 0.036282454645544374
Epoch: 16, Train Loss: 0.036725703966966006, Valid Loss: 0.036282454645544374
Epoch: 17, Train Loss: 0.036144429612318056, Valid Loss: 0.036282454645544374
Epoch: 18, Train Loss: 0.03564282329007846, Valid Loss: 0.03404842510204819
Epoch: 19, Train Loss: 0.035109566099374594, Valid Loss: 0.03404842510204819
Epoch: 20, Train Loss: 0.03440266374203919, Valid Loss: 0.03404842510204819
Epoch: 21, Train Loss: 0.03420978508114049, Valid Loss: 0.03264944020356857
Epoch: 22, Train Loss: 0.03390835741222936, Valid Loss: 0.03264944020356857
Epoch: 23, Train Loss: 0.03364714935262714, Valid Loss: 0.03264944020356857
Epoch: 24, Train Loss: 0.033430491588863784, Valid Loss: 0.032159628293476517
Epoch: 25, Train Loss: 0.033034364718917776, Valid Loss: 0.032159628293476517
Epoch: 26, Train Loss: 0.03288213439322944, Valid Loss: 0.032159628293476517
Epoch: 27, Train Loss: 0.032800777001564904, Valid Loss: 0.03159732151546802
Epoch: 28, Train Loss: 0.03258994226698839, Valid Loss: 0.03159732151546802
Epoch: 29, Train Loss: 0.03263768901788779, Valid Loss: 0.03159732151546802
Epoch: 30, Train Loss: 0.03222408364089331, Valid Loss: 0.031363873681935384
Epoch: 31, Train Loss: 0.032150579145414755, Valid Loss: 0.031363873681935384
Epoch: 32, Train Loss: 0.032060664683912096, Valid Loss: 0.031363873681935384
Epoch: 33, Train Loss: 0.03188996858708441, Valid Loss: 0.03133731779068734
Epoch: 34, Train Loss: 0.031795289582606634, Valid Loss: 0.03133731779068734
Epoch: 35, Train Loss: 0.031604791362079325, Valid Loss: 0.03133731779068734
Epoch: 36, Train Loss: 0.031418450985100016, Valid Loss: 0.030586657520873212
Epoch: 37, Train Loss: 0.031382204724753525, Valid Loss: 0.030586657520873212
Epoch: 38, Train Loss: 0.0313511084885254, Valid Loss: 0.030586657520873212
Epoch: 39, Train Loss: 0.03105742636517193, Valid Loss: 0.030300380177080744
Epoch: 40, Train Loss: 0.030879232576430764, Valid Loss: 0.030300380177080744
Epoch: 41, Train Loss: 0.03082557472526086, Valid Loss: 0.030300380177080744
Epoch: 42, Train Loss: 0.030688662626430573, Valid Loss: 0.0333477342046431
Epoch: 43, Train Loss: 0.030533424224418675, Valid Loss: 0.0333477342046431
Epoch: 44, Train Loss: 0.030626750652536602, Valid Loss: 0.0333477342046431
Epoch: 45, Train Loss: 0.030239157013550243, Valid Loss: 0.02967400469624099
Epoch: 46, Train Loss: 0.03010715673347031, Valid Loss: 0.02967400469624099
Epoch: 47, Train Loss: 0.029997515677448204, Valid Loss: 0.02967400469624099
Epoch: 48, Train Loss: 0.02984475530734987, Valid Loss: 0.029567799954857206
Epoch: 49, Train Loss: 0.029711358829781386, Valid Loss: 0.029567799954857206
Epoch: 50, Train Loss: 0.02953642988630873, Valid Loss: 0.029567799954857206
Epoch: 51, Train Loss: 0.02944340703417904, Valid Loss: 0.028977992684133615
Epoch: 52, Train Loss: 0.02934163462043829, Valid Loss: 0.028977992684133615
Epoch: 53, Train Loss: 0.029181084698709496, Valid Loss: 0.028977992684133615
Epoch: 54, Train Loss: 0.029131175343492546, Valid Loss: 0.028728025430625654
Epoch: 55, Train Loss: 0.02895736103362293, Valid Loss: 0.028728025430625654
Epoch: 56, Train Loss: 0.02882135659779037, Valid Loss: 0.028728025430625654
Epoch: 57, Train Loss: 0.028691514695876084, Valid Loss: 0.028310415324558896
Epoch: 58, Train Loss: 0.028591099231655107, Valid Loss: 0.028310415324558896
Epoch: 59, Train Loss: 0.028543229014819718, Valid Loss: 0.028310415324558896
Epoch: 60, Train Loss: 0.028361694224522283, Valid Loss: 0.028093596893572825
Epoch: 61, Train Loss: 0.028191046343915345, Valid Loss: 0.028093596893572825
Epoch: 62, Train Loss: 0.028132388472558962, Valid Loss: 0.028093596893572825
Epoch: 63, Train Loss: 0.028029247475689148, Valid Loss: 0.02775261578798297
Epoch: 64, Train Loss: 0.02790066594643603, Valid Loss: 0.02775261578798297
Epoch: 65, Train Loss: 0.027778352861014453, Valid Loss: 0.02775261578798297
Epoch: 66, Train Loss: 0.02769078357296657, Valid Loss: 0.02755382626076872
Epoch: 67, Train Loss: 0.02758049270495624, Valid Loss: 0.02755382626076872
